fac_nm,fxd_num,prsnt_num,lon,lat
대원홍익어린이집,19,14,127.4637887223449,36.63248770951895
대원딸기어린이집,34,31,127.46184830786449,36.63291024239806
늘푸른어린이집,94,48,127.45703884821192,36.63792465100767
베다니어린이집,48,41,127.47505462274032,36.63064153749336
YB영재어린이집,89,89,127.4650999793808,36.63072406797748
사직초등학교병설유치원,44,16,127.477689940541,36.6309787463525
좋은맘어린이집,20,18,127.46966583884668,36.63104768467738
예아뜨유치원,106,106,127.466123143276,36.6311564865474
패밀리영아전담어린이집,36,20,127.47402257044618,36.63153956855173
파스텔어린이집,20,13,127.46918211278675,36.63240353773353
소화어린이집,79,45,127.46701084856882,36.63241071686133
지구어린이집,45,6,127.46681049065629,36.63255928730852
사직유치원,280,132,127.4749111706,36.6335193250567
해피아이 어린이집,20,20,127.46971577072952,36.63374817273202
더스프링어린이집,20,12,127.46971577072952,36.63374817273202
초록나무어린이집,26,25,127.46971577072952,36.63374817273202
한벌초등학교병설유치원,17,15,127.474788034107,36.6370672895983
청주삼성어린이집,85,33,127.4680206280581,36.63742784581632
서원구청어린이집,36,13,127.46974393929727,36.63765175220159
아이살림생태어린이집,69,69,127.48119780495291,36.64404369536017
마주어린이집,95,95,127.42233773954533,36.61248580076109
가경아이힐어린이집,70,48,127.42845965971495,36.61587924311414
서현어린이집,65,50,127.4308592483998,36.61620626303964
